,slopes
/home/dfc/seqsTb/absidia_glaucaForTb.txt.V1,-0.641804200071571
/home/dfc/seqsTb/acidomyces_richmondensis_bfwForTb.txt.V1,-0.777315458608269
/home/dfc/seqsTb/acremonium_chrysogenum_atcc_11550ForTb.txt.V1,-0.695360826051697
/home/dfc/seqsTb/agaricus_bisporus_var_burnettii_jb137_s8ForTb.txt.V1,-0.717924744797297
/home/dfc/seqsTb/allomyces_macrogynus_atcc_38327ForTb.txt.V1,-0.649931124829772
/home/dfc/seqsTb/alternaria_alternataForTb.txt.V1,-0.703693097783507
/home/dfc/seqsTb/amanita_muscaria_koide_bx008ForTb.txt.V1,-0.837459288642523
/home/dfc/seqsTb/anncaliia_algerae_pra339ForTb.txt.V1,-0.699056709633319
/home/dfc/seqsTb/anthracocystis_flocculosa_pf_1ForTb.txt.V1,-0.549517222956112
/home/dfc/seqsTb/arthrobotrys_oligospora_atcc_24927ForTb.txt.V1,-0.747508286832238
/home/dfc/seqsTb/arthroderma_benhamiae_cbs_112371ForTb.txt.V1,-0.692330158892662
/home/dfc/seqsTb/arthroderma_otae_cbs_113480ForTb.txt.V1,-0.712085588589293
/home/dfc/seqsTb/aschersonia_aleyrodis_rcef_2490ForTb.txt.V1,-0.743605372708193
/home/dfc/seqsTb/ascochyta_rabieiForTb.txt.V1,-0.639540504310816
/home/dfc/seqsTb/ascoidea_rubescens_dsm_1968ForTb.txt.V1,-0.380681726658356
/home/dfc/seqsTb/ascosphaera_apis_arsef_7405ForTb.txt.V1,-0.630050421434085
/home/dfc/seqsTb/ashbya_gossypiiForTb.txt.V1,-0.523138068092826
/home/dfc/seqsTb/aspergillus_calidoustusForTb.txt.V1,-0.805048999266906
/home/dfc/seqsTb/aspergillus_clavatusForTb.txt.V1,-0.69844880504591
/home/dfc/seqsTb/aspergillus_cristatusForTb.txt.V1,-0.638189465556409
/home/dfc/seqsTb/aspergillus_flavusForTb.txt.V1,-0.717185003991749
/home/dfc/seqsTb/aspergillus_fumigatusForTb.txt.V1,-0.739295754500834
