species,E,H,Q,F,Y,C,N,K,D
saccharomyces_cerevisiae,0.2995834387211,0.358571385018749,0.315007467245944,0.404653660546139,0.429641850553379,0.381121523579202,0.402349486049927,0.41340976044212,0.348932856483618
metarhizium_anisopliae_arsef_23,0.415875237428771,0.424462428733104,0.425390984360626,0.453471309418541,0.387560026548327,0.345089903181189,0.401192459279244,0.318500014523484,0.412992183385454
metarhizium_anisopliae,0.412825971601552,0.41831938462992,0.419992400110714,0.452451153422894,0.381150381150381,0.336472513575839,0.396168831509342,0.311194038682293,0.410222804718218
metarhizium_rileyi_rcef_4871,0.415180326166762,0.439227551513274,0.410358958625526,0.399855534153208,0.385222632373126,0.363813229571984,0.373691742890922,0.31652867921932,0.417806836063263
metarhizium_guizhouense_arsef_977,0.419818978871324,0.423300578719018,0.428241772431345,0.454411991602886,0.390940717797381,0.3471717628806,0.401894908487728,0.322317006638845,0.415321192484052
metarhizium_album_arsef_1941,0.385886704763711,0.37141363247457,0.391974394274727,0.408920319470043,0.326961872564643,0.310034679079428,0.344620474732637,0.289223791279328,0.352724589180571
metarhizium_brunneum_arsef_3297,0.411298956195914,0.41599875131697,0.41892931581966,0.449601806112199,0.381155892675195,0.335695734471981,0.396531659177848,0.311497690663485,0.408660395405082
metarhizium_acridum_cqma_102,0.421026407573493,0.426393746665425,0.425778085723165,0.446143718895238,0.384089130620056,0.351537611338665,0.399506601180552,0.312507088400227,0.418809753205366
metarhizium_majus_arsef_297,0.416525793797646,0.422989254314556,0.425698818769454,0.453895733765949,0.386592608303728,0.341915509023506,0.402031520229947,0.318705747050416,0.413376049571733
torrubiella_hemipterigena,0.443533692006449,0.422248107163658,0.419883072230324,0.474097195543604,0.361064977203794,0.32040536529519,0.337745326059888,0.276371459820401,0.453207467778967
aschersonia_aleyrodis_rcef_2490,0.384789073250977,0.404846290891172,0.373983238846438,0.396026472844531,0.345887982146741,0.312954515088469,0.382085951449562,0.321315394037978,0.38528083906709
claviceps_purpurea_20_1,0.418686249890944,0.446515397082658,0.41821028207207,0.42269628326369,0.386098120128381,0.35358109227456,0.405738840205663,0.330309092582456,0.447348520285652
pochonia_chlamydosporia_170,0.450195522985497,0.463879024621212,0.477386391868391,0.466002240262182,0.42343753375532,0.401870933567866,0.430035037227054,0.352828472392212,0.465012242015428
fusarium_culmorum,0.412171076303102,0.465807628478556,0.464978950869139,0.414566326086578,0.382691721209562,0.41907355586648,0.337161869311373,0.289534415887474,0.49360914619531
fusarium_graminearum,0.415082517794723,0.469252601702933,0.465456164463114,0.418017619121216,0.386555092530358,0.421632667525012,0.342446113095672,0.292379962407283,0.496129583353229
fusarium_langsethiae,0.409243271255775,0.467635227724815,0.456853962330215,0.403819651370679,0.384748156284325,0.410443264150679,0.339144956276689,0.288247397519381,0.495737241765359
fusarium_poae,0.431068226979785,0.483470869371083,0.471816318379715,0.425998716508904,0.407506454284183,0.428580319910375,0.367724774021705,0.314996599589842,0.491805955223576
fusarium_pseudograminearum,0.409308949582069,0.458633334037147,0.46027352454157,0.410569609605355,0.375800259880502,0.410887465690759,0.332281334535618,0.282870406289601,0.490239541968577
fusarium_fujikuroi,0.399641769898808,0.496669722322143,0.444739055191443,0.39480177179046,0.42722109733814,0.411991130078239,0.380174520841858,0.294948412610742,0.479785313954593
fusarium_verticillioides,0.380708708708709,0.486754823011413,0.429397892879562,0.380008251886621,0.408639496714465,0.397043832823649,0.358288319452205,0.269003608608739,0.483449788778519
fusarium_oxysporum,0.38945863950802,0.492778875726498,0.435185313426221,0.384415965385109,0.4193477237972,0.397403354900033,0.368930580788841,0.282283591115373,0.480220009186781
fusarium_solani,0.329760978273488,0.412499375530799,0.374677319802078,0.423182692406235,0.34648979223897,0.339737931305047,0.290686205438918,0.204728265055733,0.434933321154549
neonectria_ditissima,0.331046606354243,0.345251218657406,0.354512190424835,0.34824909043659,0.278302750194481,0.294796522316716,0.255712457430424,0.233634591992885,0.371871942560584
trichoderma_harzianum,0.405141648245082,0.43719299796007,0.398672617004234,0.445052226498076,0.420141104064247,0.342234796541421,0.378747882455021,0.304128009457163,0.47412279405244
trichoderma_gamsii,0.415267252077383,0.44359372573381,0.398459946107036,0.450172686891781,0.422147084799831,0.324473958652843,0.391307485434698,0.327199852234946,0.477280907949882
trichoderma_virens,0.40275859736541,0.447490473598258,0.398711409167937,0.449382860170348,0.434386941175756,0.345598663891945,0.399116816898844,0.312858582183538,0.482634273691238
trichoderma_reesei,0.29426550024553,0.340872283529811,0.270192382584313,0.382368182012156,0.308205569720852,0.238610869041218,0.252515934250252,0.177754846866444,0.336753368342779
trichoderma_atroviride_imi_206040,0.41224906784612,0.438551771342255,0.397390087837993,0.460836253576181,0.419005481080367,0.324951193216586,0.388734428954477,0.324965479774543,0.467495108769347
escovopsis_weberi,0.151614171293794,0.199331607076801,0.160156984395563,0.170776429479584,0.150826159837667,0.119582513012757,0.168455467439378,0.123303441589918,0.218788333451607
ophiocordyceps_unilateralis,0.282024636285294,0.368602508470546,0.279190708956595,0.36864968446532,0.291734683335055,0.274810574482669,0.268213199439965,0.207693747129305,0.297188163286436
