name,species,KLmean,Klsd
rhizophagus_irregularis_daom_181602,350,0.0201779277503649,0.0273489277808424
exidia_glandulosa_hhb12029,141,0.0259303172742853,0.0366604637814965
fibulorhizoctonia_sp_cbs_109695,150,0.0261468622187823,0.0365578229465395
allomyces_macrogynus_atcc_38327,5,0.026847471701891,0.0329155916985031
piloderma_croceum_f_1598,302,0.02748978649126,0.0451372165653794
scleroderma_citrinum_foug_a,374,0.0281985297117511,0.0450779504074713
pisolithus_microcarpus_441,303,0.0285308773054053,0.0457931746062637
suillus_luteus_uh_slu_lm8_n1,401,0.0289472875753536,0.0470863840790005
tulasnella_calospora_mut_4182,439,0.0291350006912967,0.0452990786595814
sphaerobolus_stellatus_ss14,385,0.0292138168464131,0.0433478349608564
amanita_muscaria_koide_bx008,7,0.0295067528654045,0.0477983370296969
moniliophthora_perniciosa_fa553,242,0.030110591597835,0.0474502482622424
pisolithus_tinctorius_marx_270,304,0.0301199365027106,0.0476809640174956
laccaria_amethystina_laam_08_1,205,0.0302296980605556,0.0459978649795177
puccinia_striiformis,339,0.0310299118160853,0.0489049943828407
galerina_marginata_cbs_339_88,169,0.0321067505962636,0.0496059968151385
paxillus_rubicundulus_ve08_2h10,277,0.0330764088114002,0.0501413312520261
rhizopogon_vinicolor_am_or11_026,351,0.0342006391356108,0.0540439130142242
laccaria_bicolor_s238n_h82,206,0.034679727757536,0.0528915317365546
grifola_frondosa,175,0.0347246164721026,0.0508346389820253
peniophora_sp_cont,290,0.034727571856148,0.0501048113169721
hebeloma_cylindrosporum_h7,182,0.035446869169654,0.0540828347311
rhizopus_delemar_ra_99_880,352,0.035883106539645,0.0480019158907879
schizopora_paradoxa,369,0.036028008024895,0.0554677547720168
jaapia_argillacea_mucl_33604,191,0.0362469862183896,0.055413687602958
puccinia_sorghi,338,0.036747700605987,0.0550677066777787
botryobasidium_botryosum_fd_172_ss1,51,0.036748573224933,0.0536601120464752
