species,slope,error,slopeRan,errorRan
Acanthamoeba_castellanii_str_neff.Acastellanii.strNEFF_v1,-0.587102736424335,0.00815058066312304,-0.968169985879072,0.00910833397181528
Albugo_candida.ASM107853v1,-0.873750244485058,0.012252605787188,-1.00920768708967,0.00909552646325435
Angomonas_deanei.Angomonas_deanei_Genome,-0.518704924205103,0.00752194106031175,-0.982053114145032,0.00806744989788032
Aphanomyces_astaci.Apha_asta_APO3_V1,-0.725202084420537,0.00844302763662917,-1.00231888462814,0.00720684267486581
Aphanomyces_invadans.Apha_inva_NJM9701_V1,-0.754365455000537,0.0088738912692974,-1.01061933271582,0.0086370578481917
Aureococcus_anophagefferens.v_1.0,-0.274181406299461,0.00790445088196884,-0.963468037342337,0.0102004028803896
Babesia_bigemina.Bbig001,-0.555497693785378,0.0153857935117091,-0.988064900153878,0.017917981375555
Babesia_bovis.ASM16539v1,-0.574316634195001,0.0134718166314,-0.963899899142703,0.017937914281981
Babesia_microti_strain_ri.ASM69194v1,-0.764244597467792,0.0168662849242424,-0.939434832831886,0.0207822617629827
Bigelowiella_natans_gca_000002455.ASM245v1,-0.543874697930674,0.044885867524433,-0.578846333746584,0.043973657443447
Blastocystis_hominis.ASM15166v1,-0.451041655092606,0.0109932716707812,-0.946920867107216,0.0112000291661756
Bodo_saltans.BSAL,-0.691728198767423,0.00837559967649362,-0.992063513171411,0.00822803968371466
Cryptosporidium_andersoni.ASM186535v1,-0.660813137345855,0.0139603221799562,-0.889608987374772,0.0161247951470767
Cryptosporidium_muris_rn66.JCVI-cmg-v1.0,-0.593321472202331,0.0163850204119859,-0.903935401338142,0.0204490540633788
Cryptosporidium_parvum.ASM20969v1,-0.231173563536658,0.030385180742698,-0.679528662201888,0.050010282609275
Cryptosporidium_parvum_iowa_ii.ASM16534v1,-0.535654966082342,0.0141228884705341,-0.902872645048306,0.0180695318813232
Cryptosporidium_ubiquitum.ASM186534v1,-0.601385094375968,0.0147620471567539,-0.921946917711503,0.018252378613568
Cyclospora_cayetanensis.ASM76915v2,-0.849148027869505,0.0115959012361181,-0.974886166975277,0.0131359111127758
Dictyostelium_fasciculatum.DFas_2.0,-0.49527502087655,0.00966228540671271,-0.985953581369112,0.0121478131498716
Dictyostelium_lacteum.ASM160615v1,-0.549816350117925,0.0153595814002949,-0.961185802575786,0.0113739342660781
Dictyostelium_purpureum.v1.0,-0.473986696525579,0.0113860819750443,-0.977479161842058,0.0102762516834403
Eimeria_acervulina.EAH001,-0.56961480242788,0.0143859234279269,-0.940844846171467,0.0133749680453045
Eimeria_brunetti.EBH001,-0.513576657644211,0.0129802139935459,-0.979528849534185,0.0113123968203718
Eimeria_maxima.EMW001,-0.423970273005075,0.0149716605579219,-0.960893114884945,0.0146243328305092
Eimeria_mitis.EMH001,-0.473643825747649,0.0122167872135196,-1.00341006747723,0.0105889933477363
Eimeria_necatrix.ENH001,-0.548882720754781,0.0139289783315448,-0.989303386006937,0.0112260458599346
Eimeria_praecox.EPH001,-0.448870583534639,0.0118814233974899,-0.94674204059829,0.0128945080035498
Eimeria_tenella.ASM283v1,-0.13262583779687,0.0269427931474743,-0.517728295889564,0.0389155988368568
Eimeria_tenella_gca_000499545.ETH001,-0.603520530047707,0.0137971761090563,-0.966639865942909,0.0129142974272589
Entamoeba_dispar_saw760.JCVI_EDISG_1.0,-0.508782054018523,0.0105234726656391,-0.983057656692159,0.0104230590302723
Entamoeba_histolytica_gca_001662325.Ehistolytica_2016,-0.496199312716314,0.0110398550522062,-0.992600307546412,0.0130265004831814
Entamoeba_histolytica_hm_1_imss_a.EHA_CA_v1,-0.573731614599661,0.0121253947167286,-0.970609886481755,0.0129422603983393
Entamoeba_histolytica_hm_1_imss_b.EHA_CB_v1,-0.277367365701068,0.00915485207817631,-0.959687659522835,0.0151908648173222
Entamoeba_histolytica_hm_3_imss.EHA.strHM3_v1,-0.488927214864183,0.0116385421157041,-0.937451839930093,0.0119882558606873
