species, E,H,Q,F,Y,C,N,K,D
Acidobacteria_bacterium_mor1.ASM166450v1,0.283471695205809,0.215256848168241,0.117867994598244,0.0784038572251008,0.122099478183635,0.174029810662012,0.0956820412168793,0.117495970991136,0.255754347673732
Acidobacteria_bacterium_scgc_ag_212_p17.ASM164424v1,0.421802142407057,0.496045555204049,0.331620417951353,0.469436001350895,0.470220288278488,0.252763448784083,0.44679186228482,0.461811997526283,0.488910724312184
Acidobacterium_capsulatum_atcc_51196.ASM2256v1,0.378392217101895,0.440658163762048,0.188602227242104,0.477896052308585,0.444214999700724,0.147786458333333,0.398106991580819,0.256381632804942,0.435383552176918
Acinetobacter_baumannii_gca_000809745.ASM80974v3,0.252851159125783,0.266456783056669,0.304106782857514,0.269254658385093,0.248390393459377,0.307725807856459,0.332554545789028,0.226829303129419,0.290283566233554
Aggregatibacter_actinomycetemcomitans_rhaa1.ASM25991v1,0.182587275125034,0.43901571723206,0.306986391778497,0.41802205375603,0.32941008969674,0.480298189563365,0.427984076225282,0.141916916916917,0.345626690712354
Akkermansia_glycaniphila.ASM168379v1,0.338682432432432,0.417635605006954,0.295406312042172,0.22936452397614,0.343562348904313,0.172675521821632,0.3538310545553,0.482710672683388,0.415765884524123
Akkermansia_muciniphila.ASM168876v1,0.272230521267395,0.457042594385286,0.221513788382554,0.415874509803922,0.443830961987683,0.205944611042512,0.427771440423105,0.479775427601515,0.409808133935847
Akkermansia_muciniphila_atcc_baa_835.ASM2022v1,0.277694276313117,0.457760559860035,0.210479501900218,0.406561868110365,0.442727033890884,0.203497468936954,0.426621038748084,0.488417671557286,0.411270465795152
Akkermansia_sp_kle1798.ASM158019v1,0.308556021978772,0.485567115463076,0.209416608559949,0.373354109855863,0.395326227855394,0.21073163550714,0.373077944692028,0.438918205804749,0.318796145663872
Aminobacterium_colombiense_dsm_12261.ASM2588v1,0.331879265461198,0.335297175532837,0.383081743093136,0.318615426546743,0.344024327270641,0.493038493038493,0.433360217763887,0.358537513538831,0.352432204284056
Aminomonas_paucivorans_dsm_12260.ASM16579v1,0.221884972942972,0.169194151649099,0.0748195809060082,0.133824241167116,0.123627856757243,0.168069694596711,0.0697148599422183,0.122376466699719,0.176282211658744
Anabaena_sp_mdt14b.ASM167219v1,0.176678745328955,0.302827416791099,0.233420712194458,0.207495511669659,0.253009613441497,0.257646954517244,0.250106558440355,0.217667704125555,0.20941709773529
Anaerobaculum_hydrogeniformans_atcc_baa_1850.ASM16045v2,0.420605597316006,0.417776998597475,0.499441479458856,0.376619051143513,0.458348014295062,0.444949193066348,0.499053773367182,0.469516315891099,0.416849901631756
Anaerobaculum_mobile_dsm_13181.ASM26692v1,0.478852030647947,0.414681149264191,0.461070341865044,0.371850238461827,0.494076655052265,0.401436552274541,0.449717144326523,0.429864814585142,0.451095472805493
Aquifex_aeolicus_vf5.ASM862v1,0.347956934554086,0.169968304278922,0.358211933745759,0.437148068839718,0.185249051583978,0.489422084623323,0.302328209764919,0.481146369972726,0.376271346799754
Arthrospira_maxima_cs_328.ASM17355v1,0.291484547247902,0.370249496736412,0.362341030885428,0.25235796272021,0.267505416095244,0.314560968896229,0.334161525756314,0.268978949113211,0.294063554883017
Bacillus_pumilus_gca_000828345.ASM82834v1,0.305828078248119,0.281091143409465,0.378072180942272,0.307382603059882,0.296278095336627,0.394762724366855,0.377681900250897,0.308251205832178,0.292509357009785
Bacteroides_cellulosilyticus_cl02t12c19.Bact_cell_CL02T12C19_V1,0.304775280898876,0.335970613167561,0.472544450951319,0.485095085562578,0.308884963691928,0.4543669250646,0.38641439361622,0.41287095346025,0.370321430526127
Bacteroides_fragilis_hmw_615.Bact_frag_HMW_615_V1,0.331349494362994,0.353192934782609,0.454255222110736,0.481423914389073,0.311761062943362,0.439258020374031,0.418523598022069,0.376240558370781,0.399341469941477
Bacteroides_fragilis_str_1007_1_f_7.ASM59914v2,0.328756466971583,0.351221155465723,0.460603776294063,0.471218330849478,0.311217341135746,0.430644919946132,0.411386156715054,0.363870123406726,0.389332099615215
Bacteroides_fragilis_str_2_f_2_5.ASM59828v1,0.330018814589942,0.355017034132545,0.461245322711362,0.48120591112713,0.315171523275782,0.432869481765835,0.419515374133539,0.370893030270387,0.402281168274619
Bacteroides_oleiciplenus_yit_12058.Bact_olei_YIT_12058_V1,0.305641580942068,0.353302029687973,0.4759056298259,0.46187812167151,0.311271350306155,0.485862043306794,0.403061723999822,0.412290998625744,0.401337481611741
Bacteroides_sp_1_1_14.ASM16251v1,0.289295860833078,0.344983341875961,0.418468692908155,0.485443614034638,0.311438150608386,0.45444120598213,0.407070976934723,0.393694513013728,0.420482290725098
